sgRNA	Gene	Control	Vehicle	T8
ID_14187	PLN	7	2	6
ID_60748	ZFP92	3	6	7
ID_61902	ZNF565	2	1	0
ID_35271	OR2J2	4	2	3
ID_27112	OPTN	3	2	1
ID_26723	TANK	2	1	1
ID_31478	CNOT1	2	0	0
ID_77114	controlguide673	5	4	6
ID_10295	IPO5	4	2	4
ID_24937	AKAP6	5	3	5
ID_65709	MICU2	6	3	7
ID_25493	TTC37	2	0	3
ID_35245	OR4F4	5	0	1
ID_15869	RASGRF2	4	1	0
ID_11074	MAN2A2	2	4	1
ID_27894	TUBB3	2	4	5
ID_69797	MURC	4	2	3
ID_31284	RPIA	1	1	0
ID_254	ADA	6	0	2
ID_71064	BLOC1S3	1	2	0
ID_40247	SPATA6	2	1	2
ID_48727	C7orf25	6	2	4
ID_39247	MPC1	2	1	0
ID_76623	controlguide182	6	5	10
ID_19046	TFF1	4	2	4
ID_34902	FBXO6	2	0	1
ID_17290	SH3GL2	4	1	1
ID_23369	AP1M1	1	4	2
ID_73096	AKR1B15	3	0	0
ID_43008	LIMS2	3	1	1
ID_59	ABCF1	2	0	0
ID_15929	RBMY1A1	1	0	1
ID_2625	CD28	4	3	2
ID_31233	MAPRE1	2	0	1
ID_15776	RALA	2	4	1
ID_36778	SNX11	6	3	2
ID_42790	OTUB1	8	4	0
ID_37626	PI15	4	4	2
ID_71068	IGFL3	8	7	2
ID_63695	TDRD5	2	0	1
ID_76867	controlguide426	9	3	7
ID_66883	NEGR1	1	1	3
ID_50772	SIKE1	7	3	5
ID_10719	LMO2	4	1	3
ID_67859	SLC25A41	1	0	3
ID_15711	RAC2	2	0	1
ID_3210	CHRM4	8	1	4
ID_28569	IFITM2	4	3	0
ID_22741	B3GALT2	3	1	2
ID_48337	MRPL11	3	0	0
ID_69329	OR6C4	5	6	5
ID_4902	DNASE1L1	3	0	1
ID_44092	TDRD1	6	5	2
ID_3274	CIDEA	4	1	4
ID_47081	VIPAS39	8	7	3
ID_1412	ATP5B	1	0	1
ID_3379	CLU	3	1	0
ID_72535	OR14I1	4	1	2
ID_2808	CDC25A	1	2	0
ID_42080	ELP2	2	3	0
ID_53007	RNASEH2C	1	0	1
ID_30732	PARK7	4	2	2
ID_12201	NAP1L4	1	1	3
ID_34086	NELFB	1	0	1
ID_48051	CRTC3	4	2	5
ID_21964	DOC2A	5	3	4
ID_44578	C2orf83	6	0	1
ID_6439	FLG	3	2	8
ID_41485	RNF31	2	1	1
ID_47796	ACTR6	3	2	3
ID_627	ALDH3B2	4	2	1
ID_22118	PKP4	2	0	1
ID_29471	CPSF4	1	0	0
ID_39277	SARAF	2	1	1
ID_77250	controlguide809	3	8	4
ID_10152	KHK	1	0	1
ID_71192	LOC388780	6	1	5
ID_15090	PSD	6	3	6
ID_27634	SMNDC1	4	1	0
ID_29993	DUS4L	5	0	3
ID_61259	PLEKHA7	2	1	0
ID_65351	UNC5B	2	0	0
ID_49447	EFTUD1	4	0	0
ID_39589	CLIC5	2	0	2
ID_56558	FBXO44	2	1	1
ID_64863	STRA13	4	1	2
ID_71388	GFRAL	3	2	2
ID_7819	CXCL1	2	1	1
ID_28594	DRAP1	1	0	0
ID_31074	PLEKHA6	1	1	1
ID_16842	ATXN1	8	3	0
ID_54865	KIAA1671	3	2	0
ID_30948	RHOBTB3	7	2	5
ID_11784	MSR1	4	2	0
ID_19543	NR2C1	1	1	2
ID_56973	C12orf57	6	1	1
ID_49788	KCTD17	9	6	6
ID_76673	controlguide232	6	0	3
ID_33606	FTSJ1	1	0	1
ID_6049	ACSL4	5	3	4
ID_72847	SLC22A20	6	2	0
ID_8182	HAS3	11	1	5
ID_47239	NEUROD6	4	1	2
ID_52222	COG3	1	0	0
ID_55447	MED30	1	1	1
ID_16861	SCD	1	1	0
ID_43728	ERBB2IP	6	2	3
ID_48327	MRPL34	1	0	1
ID_71524	ZCCHC13	6	3	0
ID_21487	TMEM187	1	3	2
ID_51149	ULBP1	3	3	3
ID_77047	controlguide606	4	1	0
ID_35558	KCNMB3	5	3	2
ID_52405	TRPT1	3	2	0
ID_3234	CHRNA5	5	1	3
ID_23055	GALR2	3	1	1
ID_57743	IL22RA2	1	1	1
ID_15715	RAC3	3	1	0
ID_39955	MOV10L1	2	1	2
ID_55499	LRRC46	2	2	2
ID_63738	FAM43B	1	0	1
ID_50051	ARHGAP28	5	3	2
ID_44374	TMEM9B	3	3	4
ID_24044	SLC28A2	3	1	3
ID_20139	VEGFC	6	7	5
ID_76749	controlguide308	11	9	2
ID_14910	MAPK9	8	1	1
ID_40896	LPPR1	3	6	3
ID_32749	ZFPM2	2	1	0
ID_22467	PDE8B	4	2	5
ID_7569	MCHR1	2	2	6
ID_25413	GNA14	7	0	4
ID_4236	CTRL	4	4	1
ID_901	APCS	4	1	2
ID_52739	CCDC8	4	4	1
ID_62448	FAM132B	4	2	4
ID_57174	BTBD9	2	5	1
ID_48595	CYP4F12	3	4	4
ID_68630	KRTAP23-1	5	2	7
ID_51437	GRIP2	7	5	0
ID_6918	GATA4	4	4	2
ID_6606	NR5A2	1	1	0
ID_47297	CDH23	1	2	2
ID_59373	RNF19B	4	3	1
ID_2481	CCNB1	1	0	0
ID_11553	AFF1	2	0	5
ID_2375	CASQ2	3	7	1
ID_68173	GPRIN3	2	1	4
ID_30277	BVES	5	4	4
ID_20547	ZNF33A	5	3	1
ID_34199	ADGRA2	2	0	1
ID_43402	DDX28	5	0	0
ID_70333	ANKRD30B	7	1	2
