"./T0-Control.fastq.gz" "./T8-APR-246.fastq.gz" "./T8-Vehicle.fastq.gz"
"ID_1" 2 3 9
"ID_2" 1 5 2
"ID_3" 0 0 0
"ID_4" 3 4 3
"ID_5" 3 0 4
"ID_6" 9 3 6
"ID_7" 2 2 2
"ID_8" 2 1 4
"ID_9" 3 2 0
"ID_10" 2 6 3
"ID_11" 3 2 1
"ID_12" 1 2 1
"ID_13" 4 0 3
"ID_14" 5 5 3
"ID_15" 4 2 5
"ID_16" 1 0 0
"ID_17" 1 2 0
"ID_18" 1 0 0
"ID_19" 4 5 2
"ID_20" 1 0 3
"ID_21" 6 5 9
"ID_22" 2 1 1
"ID_23" 5 1 5
"ID_24" 1 2 1
"ID_25" 0 0 1
"ID_26" 3 0 1
"ID_27" 0 0 0
"ID_28" 4 1 1
"ID_29" 3 4 7
"ID_30" 3 1 1
"ID_31" 2 1 4
"ID_32" 4 5 1
"ID_33" 1 1 0
"ID_34" 0 0 0
"ID_35" 0 0 0
"ID_36" 3 0 0
"ID_37" 0 2 0
"ID_38" 0 0 0
"ID_39" 2 3 0
"ID_40" 2 0 1
"ID_41" 4 1 3
"ID_42" 2 1 2
"ID_43" 2 1 0
"ID_44" 2 1 2
"ID_45" 1 2 5
"ID_46" 1 0 0
"ID_47" 1 0 2
"ID_48" 0 1 1
"ID_49" 2 9 3
"ID_50" 4 3 2
"ID_51" 6 1 7
"ID_52" 6 1 2
"ID_53" 4 0 0
"ID_54" 0 0 0
"ID_55" 1 1 1
"ID_56" 0 2 1
"ID_57" 1 0 0
"ID_58" 2 0 1
"ID_59" 2 1 0
"ID_60" 1 0 0
"ID_61" 2 2 0
"ID_62" 1 0 1
"ID_63" 0 0 0
"ID_64" 0 0 0
"ID_65" 4 3 2
"ID_66" 2 0 2
"ID_67" 0 3 2
"ID_68" 6 5 5
"ID_69" 2 1 0
"ID_70" 1 2 1
"ID_71" 1 2 2
"ID_72" 0 0 0
"ID_73" 3 3 3
"ID_74" 4 0 1
"ID_75" 5 1 3
"ID_76" 3 2 4
"ID_77" 3 2 2
"ID_78" 0 0 1
"ID_79" 0 1 0
"ID_80" 6 4 5
"ID_81" 5 4 3
"ID_82" 0 2 1
"ID_83" 1 4 3
"ID_84" 3 0 1
"ID_85" 2 1 3
"ID_86" 2 1 4
"ID_87" 0 1 0
"ID_88" 2 0 0
"ID_89" 2 0 1
"ID_90" 4 0 0
"ID_91" 1 1 1
"ID_92" 1 1 1
"ID_93" 1 4 1
"ID_94" 5 2 2
"ID_95" 1 5 2
"ID_96" 1 1 0
"ID_97" 0 0 4
"ID_98" 1 0 4
"ID_99" 1 1 0
"ID_100" 0 1 1
"ID_101" 2 1 2
"ID_102" 2 2 4
"ID_103" 1 0 2
"ID_104" 2 1 5
"ID_105" 3 3 12
"ID_106" 4 3 2
"ID_107" 2 2 1
"ID_108" 3 2 1
"ID_109" 4 0 3
"ID_110" 2 2 0
"ID_111" 1 3 0
"ID_112" 4 3 4
"ID_113" 3 2 3
"ID_114" 0 0 0
"ID_115" 0 0 0
"ID_116" 0 1 1
"ID_117" 0 1 0
"ID_118" 0 1 0
"ID_119" 4 1 1
"ID_120" 5 2 3
"ID_121" 4 1 1
"ID_122" 3 3 0
"ID_123" 0 2 0
"ID_124" 0 1 0
"ID_125" 6 3 2
"ID_126" 3 2 2
"ID_127" 3 2 0
"ID_128" 3 4 2
"ID_129" 6 4 6
"ID_130" 2 0 1
"ID_131" 6 2 2
"ID_132" 5 5 5
"ID_133" 1 4 1
"ID_134" 1 1 1
"ID_135" 2 3 1
"ID_136" 0 2 0
"ID_137" 1 0 0
"ID_138" 1 0 0
"ID_139" 0 0 0
"ID_140" 1 0 0
"ID_141" 5 6 3
"ID_142" 2 0 3
"ID_143" 1 0 1
"ID_144" 1 2 3
"ID_145" 2 2 0
"ID_146" 1 1 0
"ID_147" 1 1 1
"ID_148" 0 0 0
"ID_149" 5 0 0
"ID_150" 5 0 0
"ID_151" 2 0 0
"ID_152" 0 0 0
"ID_153" 2 0 1
"ID_154" 4 3 1
"ID_155" 2 2 0
"ID_156" 5 4 3
"ID_157" 1 0 0
"ID_158" 1 2 4
"ID_159" 7 1 2
"ID_160" 0 2 1
"ID_161" 1 0 1
"ID_162" 1 0 1
"ID_163" 0 1 4
"ID_164" 2 1 0
"ID_165" 0 1 1
"ID_166" 4 5 9
"ID_167" 1 0 0
"ID_168" 2 0 0
"ID_169" 4 2 5
"ID_170" 2 4 7
"ID_171" 1 2 0
"ID_172" 3 3 2
"ID_173" 4 3 1
"ID_174" 3 2 0
"ID_175" 4 3 3
"ID_176" 3 2 2
"ID_177" 0 1 2
"ID_178" 1 1 3
"ID_179" 0 3 0
"ID_180" 3 3 1
"ID_181" 1 2 0
"ID_182" 6 3 3
"ID_183" 2 1 0
"ID_184" 1 0 0
"ID_185" 2 0 1
"ID_186" 1 0 0
"ID_187" 0 0 0
