sgRNA	Gene	base	base	low	low	high	high
NEGCTRL_3	NEGCTRL	4	4	0	3	0	0
POSCTRL_2	POSCTRL	21	21	92	202	2	4
RAB_1	RAB	47	47	137	46	94	28
RAB_2	RAB	35	35	51	15	35	9
TRIM28_1	TRIM28	23	23	115	266	0	0
PARK2_5	PARK2	40	40	3	4	123	138
RAB_4	RAB	24	24	70	16	12	3
POSCTRL_4	POSCTRL	36	36	157	84	2	1
POSCTRL_3	POSCTRL	48	48	140	30	0	0
POSCTRL_1	POSCTRL	46	46	134	155	9	9
TRIM28_3	TRIM28	24	24	138	286	2	4
PARK2_1	PARK2	25	25	1	0	121	19
POSCTRL_5	POSCTRL	40	40	233	184	0	0
TRIM28_5	TRIM28	42	42	237	121	1	0
NEGCTRL_2	NEGCTRL	24	24	0	0	1	0
NEGCTRL_5	NEGCTRL	28	28	0	0	0	0
NEGCTRL_1	NEGCTRL	44	44	6	2	0	0
RAB_5	RAB	15	15	11	17	30	42
PARK2_2	PARK2	39	39	1	1	85	56
TRIM28_2	TRIM28	14	14	81	164	1	1
TRIM28_4	TRIM28	14	14	89	296	1	2
PARK2_3	PARK2	18	18	1	3	58	139
NEGCTRL_4	NEGCTRL	6	6	0	0	0	1
RAB_3	RAB	7	7	31	104	21	63
PARK2_4	PARK2	24	24	2	2	105	140
